customer_id,churn_probability,annual_revenue,contract,tenure_months,num_support_calls,tech_support
CUST-04195,0.7367287883003822,1440.0,Month-to-month,4,2,Yes
CUST-02799,0.8343027414999038,1440.0,Month-to-month,5,2,No
CUST-02330,0.7173963808124945,1362.0,Month-to-month,7,2,No
CUST-02400,0.7137151505647892,1321.32,Month-to-month,9,3,No
CUST-03745,0.7272199166827474,1320.3600000000001,Month-to-month,5,1,No
CUST-02018,0.803021310147965,1314.6,Month-to-month,0,3,Yes
CUST-01216,0.8009511086529949,1301.4,Month-to-month,2,1,No
CUST-04236,0.7179698155870479,1285.56,Month-to-month,1,1,No
CUST-00000,0.7564935019992187,1284.24,Month-to-month,11,1,No
CUST-01812,0.7750339743888449,1283.4,Month-to-month,7,0,No
CUST-01561,0.7178660305609114,1283.28,Month-to-month,6,1,No
CUST-00750,0.810572110402532,1247.76,Month-to-month,2,1,No
CUST-01219,0.7551719036967045,1238.4,Month-to-month,7,0,No
CUST-01972,0.758660950077662,1224.96,Month-to-month,7,1,Yes
CUST-01076,0.7036967614445588,1224.0,Month-to-month,11,1,No
CUST-00604,0.8066593487960082,1184.76,Month-to-month,3,2,No
CUST-02692,0.7442936494275196,1180.56,Month-to-month,0,1,No
CUST-04276,0.7078225186387016,1160.16,Month-to-month,12,1,No
CUST-02857,0.7309579920894781,1146.1200000000001,Month-to-month,0,1,Yes
CUST-04097,0.7114907459525871,1136.4,Month-to-month,2,0,No
CUST-01361,0.7419668554540328,1133.8799999999999,Month-to-month,5,1,Yes
CUST-00934,0.8179574720221222,1128.0,Month-to-month,4,3,No
CUST-04925,0.8279975426806755,1120.44,Month-to-month,7,2,No
CUST-04824,0.705887252574546,1118.4,Month-to-month,18,2,No
CUST-04115,0.7101028373709934,1100.6399999999999,Month-to-month,10,1,No
